<original institution name>; <institution name without accents>
Universidad Privada Boliviana; Bolivian Private University
Universita di Siena; University in Siena
Universidad Nacional de Educación a Distancia; National Distance Education University
Universidad Nacional de Educacion a Distancia; National Distance Education University
North Carolina AandT State University; North Carolina Agricultural and Technical State University
Universidade de Coimbra; University of Coimbra
Universidade de Coimbra; University of Coimbra
univ Coimbra; University of Coimbra
univ of Coimbra; University of Coimbra
Italian National Research Council; National Research Council of Italy
Consiglio Nazionale delle Ricerche; National Research Council of Italy
Italy Consiglio Nazionale delle Ricerche; National Research Council of Italy
Boğaziçi University; Bogazici University
Boazii University; Bogazici University
Bogazici University; Bogazici University
Nişantaşı University; Nisantasi University
Nianta University; Nisantasi University
Nisantasi University; Nisantasi University
Université Paris 1 Panthéon-Sorbonne; Paris 1 Pantheon-Sorbonne University
Universit Paris 1 PanthonSorbonne; Paris 1 Pantheon-Sorbonne University
Universite Paris 1 PantheonSorbonne; Paris 1 Pantheon-Sorbonne University
Universite Paris 1 Pantheon-Sorbonne; Paris 1 Pantheon-Sorbonne University
Università degli Studi di Padova; universita di padova
Universita degli Studi di Padova; universita di padova
Universit degli Studi di Padova; universita di padova
Università di Padova; university of padova
Universit di Padova; universita of padova
university of padua; universita of padova
Università degli studi di bologna; university of bologna
universita degli studi di bologna; university of bologna
universit degli studi di bologna; university of bologna
Università di bologna; university of bologna
universita di bologna; university of bologna
universit di bologna; university of bologna
Pontifícia Universidade Católica do Rio de Janeiro; Pontifical Catholic University of Rio de Janeiro
Pontificia Universidade Catolica do Rio de Janeiro; Pontifical Catholic University of Rio de Janeiro
Pontifcia Universidade Catlica do Rio de Janeiro; Pontifical Catholic University of Rio de Janeiro
Pontificia Universidad; Pontifical university
Federal University of Sao Paulo UNIFESP; federal university of sao paulo
Federal University of Sao PauloUNIFESP; federal university of sao paulo
Federal University of So Paulo UNIFESP; federal university of sao paulo
Federal University of São Paulo UNIFESP; federal university of sao paulo
Federal University of São Paulo; federal university of sao paulo
Federal University of So Paulo; federal university of sao paulo
Universidade Federal de Sao Paulo; federal university of sao paulo
Universidade Federal de São Paulo; federal university of sao paulo
Universidade Federal de So Paulo; federal university of sao paulo
university of de sao paulo; university of sao paulo
university of de são paulo; university of sao paulo
university of de so paulo; university of sao paulo
University of São Paulo; university of sao paulo
São Paulo University; university of sao paulo
university of Sao Paulo USP; university of sao paulo
university of Sao PauloUSP; university of sao paulo
university of So Paulo USP; university of sao paulo
university of São Paulo USP; university of sao paulo
federal university of paraba; federal university of Paraiba
Federal University of ParabaUFPB; federal university of Paraiba
Federal University of ParaibaUFPB; federal university of Paraiba
Federal University of Paraiba UFPB; federal university of Paraiba
Federal University of Paraaba; federal university of Paraiba
Universidade Federal da Paraíba; federal university of Paraiba
Universidade Federal da Paraba; federal university of Paraiba
university hospitals of geneva; geneva university hospitals
hallym universitychuncheon sacred heart hospital; hallym university chuncheon sacred heart hospital
